scope,station,from_line,from_direction_key,to_line,to_direction_key,position_primary,position_alternatives,status,source_kind,canonical_namu_url,evidence_url,note,pair_default_seconds,record_seconds
current_app,구리,경의중앙선,양원,8호선,장자호수공원,6-1,,verified_legacy,legacy_app,https://namu.wiki/w/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%ED%99%98%EC%8A%B9%20%EC%A0%95%EB%B3%B4/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%EA%B2%BD%EC%9D%98%C2%B7%EC%A4%91%EC%95%99%EC%84%A0,https://namu.wiki/w/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%ED%99%98%EC%8A%B9%20%EC%A0%95%EB%B3%B4/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%EA%B2%BD%EC%9D%98%C2%B7%EC%A4%91%EC%95%99%EC%84%A0,,43,43
current_app,군자,5호선,아차산,7호선,어린이대공원,8-4,,verified_legacy,legacy_app,https://namu.wiki/w/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%ED%99%98%EC%8A%B9%20%EC%A0%95%EB%B3%B4/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%205%ED%98%B8%EC%84%A0,https://namu.wiki/w/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%ED%99%98%EC%8A%B9%20%EC%A0%95%EB%B3%B4/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%205%ED%98%B8%EC%84%A0,,109,109
current_app,군자,5호선,아차산,7호선,중곡,1-1,,verified_legacy,legacy_app,https://namu.wiki/w/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%ED%99%98%EC%8A%B9%20%EC%A0%95%EB%B3%B4/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%205%ED%98%B8%EC%84%A0,https://namu.wiki/w/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%ED%99%98%EC%8A%B9%20%EC%A0%95%EB%B3%B4/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%205%ED%98%B8%EC%84%A0,,109,109
current_app,군자,5호선,장한평,7호선,어린이대공원,1-1,,verified_legacy,legacy_app,https://namu.wiki/w/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%ED%99%98%EC%8A%B9%20%EC%A0%95%EB%B3%B4/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%205%ED%98%B8%EC%84%A0,https://namu.wiki/w/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%ED%99%98%EC%8A%B9%20%EC%A0%95%EB%B3%B4/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%205%ED%98%B8%EC%84%A0,,109,109
current_app,군자,5호선,장한평,7호선,중곡,8-4,,verified_legacy,legacy_app,https://namu.wiki/w/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%ED%99%98%EC%8A%B9%20%EC%A0%95%EB%B3%B4/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%205%ED%98%B8%EC%84%A0,https://namu.wiki/w/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%ED%99%98%EC%8A%B9%20%EC%A0%95%EB%B3%B4/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%205%ED%98%B8%EC%84%A0,,109,109
current_app,군자,7호선,어린이대공원,5호선,아차산,5-1,,verified_legacy,legacy_app,https://namu.wiki/w/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%ED%99%98%EC%8A%B9%20%EC%A0%95%EB%B3%B4/%EC%84%9C%EC%9A%B8%20%EC%A7%80%ED%95%98%EC%B2%A0%207%ED%98%B8%EC%84%A0,https://namu.wiki/w/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%ED%99%98%EC%8A%B9%20%EC%A0%95%EB%B3%B4/%EC%84%9C%EC%9A%B8%20%EC%A7%80%ED%95%98%EC%B2%A0%207%ED%98%B8%EC%84%A0,,109,109
current_app,군자,7호선,어린이대공원,5호선,장한평,5-1,,verified_legacy,legacy_app,https://namu.wiki/w/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%ED%99%98%EC%8A%B9%20%EC%A0%95%EB%B3%B4/%EC%84%9C%EC%9A%B8%20%EC%A7%80%ED%95%98%EC%B2%A0%207%ED%98%B8%EC%84%A0,https://namu.wiki/w/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%ED%99%98%EC%8A%B9%20%EC%A0%95%EB%B3%B4/%EC%84%9C%EC%9A%B8%20%EC%A7%80%ED%95%98%EC%B2%A0%207%ED%98%B8%EC%84%A0,,109,109
current_app,군자,7호선,중곡,5호선,아차산,4-4,,verified_legacy,legacy_app,https://namu.wiki/w/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%ED%99%98%EC%8A%B9%20%EC%A0%95%EB%B3%B4/%EC%84%9C%EC%9A%B8%20%EC%A7%80%ED%95%98%EC%B2%A0%207%ED%98%B8%EC%84%A0,https://namu.wiki/w/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%ED%99%98%EC%8A%B9%20%EC%A0%95%EB%B3%B4/%EC%84%9C%EC%9A%B8%20%EC%A7%80%ED%95%98%EC%B2%A0%207%ED%98%B8%EC%84%A0,,109,109
current_app,군자,7호선,중곡,5호선,장한평,4-4,,verified_legacy,legacy_app,https://namu.wiki/w/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%ED%99%98%EC%8A%B9%20%EC%A0%95%EB%B3%B4/%EC%84%9C%EC%9A%B8%20%EC%A7%80%ED%95%98%EC%B2%A0%207%ED%98%B8%EC%84%A0,https://namu.wiki/w/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%ED%99%98%EC%8A%B9%20%EC%A0%95%EB%B3%B4/%EC%84%9C%EC%9A%B8%20%EC%A7%80%ED%95%98%EC%B2%A0%207%ED%98%B8%EC%84%A0,,109,109
current_app,금정,1호선,군포,4호선,범계,4-3,,verified_legacy,legacy_app,https://namu.wiki/w/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%ED%99%98%EC%8A%B9%20%EC%A0%95%EB%B3%B4/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%201%ED%98%B8%EC%84%A0,https://namu.wiki/w/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%ED%99%98%EC%8A%B9%20%EC%A0%95%EB%B3%B4/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%201%ED%98%B8%EC%84%A0,,64,64
